Year,Model,City MPG,Highway MPG,Combined MPG
2021,4RUNNER 2WD,16,19,17
2021,4RUNNER 4WD,16,19,17
2021,AVALON,22,31,25
2021,AVALON AWD,25,34,28
2021,AVALON HYBRID,43,43,43
2021,AVALON HYBRID XLE,43,44,44
2021,AVALON TRD,21,30,25
2021,AVALON XLE,22,32,26
2021,C-HR,27,31,29
2021,CAMRY,22,33,26
2021,CAMRY AWD LE/SE,25,34,29
2021,CAMRY AWD XLE/XSE,25,34,28
2021,CAMRY HYBRID LE,51,53,52
2021,CAMRY HYBRID SE/XLE/XSE,44,47,46
2021,CAMRY LE/SE,28,39,32
2021,CAMRY TRD,22,31,25
2021,CAMRY XLE/XSE,27,38,31
2021,CAMRY XSE,22,32,26
2021,COROLLA,29.75,38.25,33
2021,COROLLA APEX,29.5,37,32.5
2021,COROLLA HATCHBACK,32,41,35
2021,COROLLA HATCHBACK MANUAL,28,37,31
2021,COROLLA HATCHBACK XSE,30,38,33
2021,COROLLA HYBRID,53,52,52
2021,COROLLA XLE,29,37,32
2021,COROLLA XSE,31,38,34
2021,ES 250 AWD,25,34,28
2021,ES 300h,43,44,44
2021,ES 350,22,32,26
2021,ES 350 F SPORT,22,31,25
2021,GX 460,15,19,16
2021,HIGHLANDER,20.5,28.5,23.5
2021,HIGHLANDER AWD,20,27,23
2021,HIGHLANDER HYBRID,36,35,36
2021,HIGHLANDER HYBRID AWD,35,35,35
2021,HIGHLANDER HYBRID AWD LTD/PLAT,35,34,35
2021,IS 300,21,31,25
2021,IS 300 AWD,19,26,22
2021,IS 350,20,28,23
2021,IS 350 AWD,19,26,22
2021,LAND CRUISER WAGON 4WD,13,17,14
2021,LC 500,16,25,19
2021,LC 500 CONVERTIBLE,15,25,18
2021,LC 500h,26,34,29
2021,LS 500,18,29,22
2021,LS 500 AWD,17,27,21
2021,LS 500h,25,33,28
2021,LS 500h AWD,23,29,26
2021,LX 570,12,16,14
2021,NX 300,22,28,25
2021,NX 300 AWD,22,28,24
2021,NX 300 AWD F SPORT,22,27,24
2021,NX 300h AWD,33,30,31
2021,PRIUS,54,50,52
2021,PRIUS AWD,51,47,49
2021,PRIUS Eco,58,53,56
2021,RAV4,27.5,35,30
2021,RAV4 AWD,26,33,28.5
2021,RAV4 AWD LE,27,34,30
2021,RAV4 AWD TRD OFFROAD,25,32,28
2021,RAV4 HYBRID AWD,41,38,40
2021,RC 300,21,31,25
2021,RC 300 AWD,19,26,22
2021,RC 350,20,28,23
2021,RC 350 AWD,19,26,22
2021,RC F,16,24,19
2021,RX 350,20,27,23
2021,RX 350 AWD,19,26,22
2021,RX 350 L,19,26,22
2021,RX 350 L AWD,18,25,21
